ARR ID,ARR AD,"First PT STAR /
STAR ID",DCT ARR PT,ARR FPL Option,"ARR Time
Applicability","ARR Operational
Goal",ARR Remarks,NAS / FAB,"Release
Date","Special Event and 
Crisis"
EKES5513,ESGG,LOBBI,,"NOT AVBL FOR TFC
1. ABV FL095 AT LOBBI EXC
    a. VIA (GOTEX N873 LOBBI)
    b. DEP GOTHENBURG_AREA",H24,To facilitate correct ARR traffic flow GOEteborg  TMA,,"EK, ES",21 OCT 2024,
EKES5514,ESGG,MAKUR,,"NOT AVBL FOR TFC
1. ABV FL095 AT MAKUR EXC
    a. VIA (KUVUS N607 MAKUR)
    b. DEP (GOTHENBURG_AREA, K***)",H24,To facilitate correct ARR traffic flow Goeteborg  TMA,,"EK, ES",21 OCT 2024,
EKES5517,ESMS,DETUS,,"NOT AVBL FOR TFC
1. ABV FL095 AT DETUS EXC
    a. VIA (TUDLO L983 DETUS)
    b. VIA (MAKEL N851 GESKA P605 KOSMO L983 DETUS)
    c. DEP EDDH & VIA (MEGAR P605 KOSMO L983 DETUS)
    d. DEP MALMO_AREA",H24,"To facilitate correct ARR traffic flow
Kopenhamn / Malmo / Halmstad TMA",,"EK, ES",21 AUG 2024,
EN5507,ENCN,,SVA,"ONLY AVBL FOR TFC
1. DEP KJEVIK_GROUP
2. TYP (HEL)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5508,"(ENRY, ENTO)",,"(RG, YG, TOR)","NOT AVBL FOR TFC
EXC DEP (FARRIS_GROUP, OSLO_GROUP)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5515,ENBR,,"(ARKEN, ARPIX, TAGUD)","ONLY AVBL FOR TFC
TYP (HEL)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5516,ENBR,,FLS,"ONLY AVBL FOR TFC
1. TYP (HEL)
2. DEP (ENHD, ENSO)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5518,ENZV,,SOA,"ONLY AVBL FOR TFC
FLT-TYPE (M)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5519,ENZV,BEGOD,,"ONLY AVBL FOR TFC
DEP ENBR",H24,To facilitate correct ARR traffic flow,,EN,,
EN5520,ENZV,,ZOL,"ONLY AVBL FOR TFC
1. TYP (HEL)
2. DEP (ENHD, ENSO)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5525,FARRIS_GROUP,BAMIX,,"NOT AVBL FOR TFC
ARR FARRIS_GROUP EXC VIA (XUKDI (P601, DCT) BAMIX)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5526,FARRIS_GROUP,ESOSI,,"NOT AVBL FOR TFC
ARR FARRIS_GROUP EXC VIA (ARTOR (Z128, DCT) ESOSI)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5527,ENGM,INREX,,"NOT AVBL FOR TFC
1. ARR ENGM EXC 
    a. VIA XELVI AND-THEN VIA INREX
    b. VIA ABUNO AND-THEN VIA INREX
    c. DEP (EFHK, ESKS)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5532,ENGM,,"(ADOPI, BELGU, ESEBA, INREX, LUNIP, RIPAM)","NOT AVBL FOR TFC
ACFT-PBN (D1,D2,D3,D4,O1,O2,O3,O4) & RFL ABV FL095 IN EN EXC FLT-TYPE (X)",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,29 OCT 2024,
EN5534,ENRY,,"(BAMIX, ESOSI, REGMA, ULMUG, VATEX)","NOT AVBL FOR TFC
ACFT-PBN (D1,D2,D3,D4,O1,O2,O3,O4) & RFL ABV FL095 IN EN EXC FLT-TYPE (X)",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,29 OCT 2024,
EN5536,ENTO,,"(BAMIX, ESOSI, REPKU, ULMUG, VATEX)","NOT AVBL FOR TFC
ACFT-PBN (D1,D2,D3,D4,O1,O2,O3,O4) & RFL ABV FL095 EXC FLT-TYPE (X)",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,29 OCT 2024,
EN5540,ENCN,,"(AMSEV, LANTI, OSVAL, PEVEB, RASVI, TIPSO)_x000D_
","NOT AVBL FOR TFC
1. ACFT-PBN (D1,D2,D3,D4,O1,O2,O3,O4) & RFL ABV FL095 IN EN EXC
    a. TYP (F70, F100)
    b. FLT-TYPE (X)",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,29 OCT 2024,
EN5542,ENVA,,"(MIVSO, NELSU, NUPGO, VEVOD)","NOT AVBL FOR TFC
ACFT-PBN (D1,D2,D3,D4,O1,O2,O3,O4) & RFL ABV FL095 EXC FLT-TYPE (X)",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,29 OCT 2024,
EN5543,ENBR,,"(ALUVA, BADAB, ETNOR, LUNUR, MODNI, PESUR, NIDGI, GENVU)","NOT AVBL FOR TFC
1. ACFT-EQPT (D1,D2,D3,D4,O1,O2,O3,O4) & RFL ABV FL095 EXC
    a. FLT-TYPE (X)
    b. TYP (F70, F100)",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,29 OCT 2024,
EN5545,ENZV,,"(IDIPI,  KUNEM,  RIVEX,  ROPNO,  UNBUD,  UPDER)","NOT AVBL FOR TFC
1. ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & RFL ABV FL095 EXC
    a. TYP (F70, F100)
    b. FLT-TYPE (X)",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,29 OCT 2024,
EN5556,ENZV,IDIPI,,"NOT AVBL FOR TFC
FLT-TYPE (S) & VIA ENOS8",H24,To facilitate correct ARR traffic flow.,,EN,29 OCT 2024,
EN5557,ENHD,RIVEX,,"COMPULSORY FOR TFC
FLT-TYPE (S) & VIA ENOS8",H24,To facilitate correct ARR traffic flow.,,EN,29 OCT 2024,
EN5558,ENGM,,GRM,"ONLY AVBL FOR TFC
TYP (HEL)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5559,ENVA,,NONVU,"ONLY AVBL FOR TFC
TYP (HEL)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5567,ENTC,"LURAP,SJA",,"NOT AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5569,ENTC,,"(APSIM, UMSEG)","ONLY AVBL FOR TFC
DEP ENSR",H24,To facilitate connection from ENSR,,EN,29 OCT 2024,
EN5573,ENBO    ,RANUM,RANUM,"ONLY AVBL FOR TFC
DEP (ENRA, ENMS, ENST, ENBN)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5574,ENBO,,ROTOT,"ONLY AVBL FOR TFC
DEP (ENRS, ENBO)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5575,ENBO,ARDUX,ARDUX,"ONLY AVBL FOR TFC
DEP (ENAN, ENLK, ENSK, ENRS, ENSH)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5576,ENTC,MANKI,,"ONLY AVBL FOR TFC
1. DEP (ES**, ENDU)
2. VIA (ULLLFIR, EFINFIR, EETTFIR, EVRRFIR, EYVLFIR, UMKKFIR, EPWWFIR)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5577,ENTC,,TRO,"ONLY AVBL FOR TFC
DEP (ENSR, ENDU, ENTC)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5578,ENTC,GILGU,,"NOT AVBL FOR TFC
1. FLT-TYPE (S) EXC
    a. DEP ENAN
    b. VIA ENOBOA",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5582,ENBO,,RILUN,"ONLY AVBL FOR TFC
DEP (ENRA, ENMS, ENST)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5585,ENDU,,BDF,"ONLY AVBL FOR TFC
DEP (ENDU, ENEV, ENTC)",H24,"To facilitate correct ARR traffic flow
",,EN,29 OCT 2024,
EN5587,ENEV,,EVD,"ONLY AVBL FOR TFC
DEP (ENDU, ENEV)",H24,"To facilitate correct ARR traffic flow
",,EN,29 OCT 2024,
EN5592,ENTC,,"(ATWEG, BARVI, DIBDI, GILGU, KIIKA, LOMVI, LURAP, MANKI, SJA)","NOT AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & RFL ABV FL095 EXC FLT-TYPE (X)",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,29 OCT 2024,
EN5593,ENDU,,"(ANDOR, BARVI, LAVNA, REPGA, ROSKO, RUSST, SIRMO, TRO, TULDA, XAPAN)","NOT AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & RFL ABV FL095 EXC FLT-TYPE (X)",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,29 OCT 2024,
EN5594,ENEV,,"(ELDUR, EVANI, GILEN, LAVNA, OSKUB, PENNO, PIKOX)","NOT AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & RFL ABV FL095 EXC FLT-TYPE (X)",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,29 OCT 2024,
EN5595,ENBO,,"(BNN, EMDAM, GEPTU, PIKOX, ODNOS)","NOT AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & RFL ABV FL095 EXC FLT-TYPE (X)",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,29 OCT 2024,
EN5596,ENZV,,"(EVOLO, UTERU)","ONLY AVBL FOR TFC
TYP (HEL)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5597,ENBO,,"(NUMSI, PAIMI, ADGOK)","ONLY AVBL FOR TFC
TYP (HEL)",H24,To facilitate correct ARR flow,,EN,29 OCT 2024,
EN5598,ENBO,,BDO,"ONLY AVBL FOR TFC
DEP (ENLK, ENBO)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5601,ENBO,,EKSIS,"ONLY AVBL FOR TFC
DEP (ENST, ENBN)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5603,ENBR,GENVU,GENVU,"ONLY AVBL FOR TFC
DEP (ENZV, ENHD, ENSO)",H24,To facilitate correct ARR traffic flow,,EN,29 OCT 2024,
EN5605,ENGM,ADOPI,,"NOT AVBL FOR TFC
FLT-TYPE (S) & DEP (ENKB, ENML, ENAL)","(ENT154Z, ENT155Z, ENT156Z, ENT157Z, ENT158Z) NOT ACT",To facilitate correct traffic flow.,,EN,29 OCT 2024,
EN5606,ENBO,BNN,,NOT AVBL FOR TFC,(ENT131Z & ENT132Z & ENT133Z) NOT ACT,To enforce correct STAR usage and to facilitate harmonized traffic flow,STAR BNN shall only be used when H1Z or H2Z or H3Z is active,EN,29 OCT 2024,
EN5607,ENBO,EMDAM,,NOT AVBL FOR TFC,(ENT117Z & ENT118Z & ENT119Z) NOT ACT,To enforce correct STAR usage and to facilitate harmonized traffic flow,STAR EMDAM shall only be used when D3Z or D6Z or D9Z is active,EN,29 OCT 2024,
EN5612,ENGM,ADOPI,,"NOT AVBL FOR TFC
DEP (ENKB, ENML, ENAL)", (ENT154Z & ENT155Z & ENT156Z & ENT157Z & ENT158Z) NOT ACT,To enforce correct STAR usage and to facilitate harmonized traffic flow,"DEP ENKB, ENML and ENAL shall use STAR ADOPI only when K1Z or K2Z or K3Z or K4Z or K5Z active",EN,02 JUL 2024,
EP5502,EPMO,,MULZA,"ONLY AVBL FOR TFC
DEP EPWA",H24,"To allow shorter connection in FPL.
Not to force usage of SID/STAR procedures for flights within the same TMA.",,EP,08 JUL 2022,
EP5503,EPWA,,MULZA,"ONLY AVBL FOR TFC
DEP EPMO",H24,"To allow shorter connection in FPL.
Not to force usage of SID/STAR procedures for flights within the same TMA.",,EP,08 JUL 2022,
EP5505,EPKT,,KAX,"ONLY AVBL FOR TFC
DEP EPKK",H24,"To allow shorter connection in FPL.
Not to force usage of SID/STAR procedures for flights within the same TMA.",,EP,08 JUL 2022,
EP5508,EPMO,,BIMPA,"ONLY AVBL FOR TFC
DEP EPLL",H24,To allow connection for flights from EPLL to EPMO.,Suggested routing: EPLL SID ADOXO DCT BIMPA DCT EPMO,EP,17 FEB 2024,
EP5511,EPKK,,BALOS,"ONLY AVBL FOR TFC
DEP EPKT",H24,"To allow shorter connection in FPL.
Not to force usage of SID/STAR procedures for flights within the same TMA.",,EP,08 JUL 2022,
EP5514,EPKK,,LUXAR,"ONLY AVBL FOR TFC
RFL BLW FL115 IN EP",H24,To allow shorter connection in FPL.,,EP,21 OCT 2024,
EP5515,EPKT,,LUXAR,"ONLY AVBL FOR TFC
RFL BLW FL115 IN EP",H24,To allow shorter connection in FPL.,,EP,21 OCT 2024,
EP5516,EPRZ,,"(ARSOG, ARTOB, ATKEK, ETITI, LUXAR, VELAX)","ONLY AVBL FOR TFC
RFL BLW FL095 IN EP",H24,To allow connection for GA flights below FL95,,EP,21 OCT 2024,
EP5519,EPBY,,"(GOBNI, INTUN, LUXUD)",,H24,To allow shorter connection in FPL.,,EP,15 OCT 2024,
EP5522,EPZG,,"(BAREP, DILVI, OBOLA)",,H24,To allow shorter connection in FPL.,,EP,15 OCT 2024,
EP5523,EPSC,,"FARCU, SCE, VAVUN","NOT AVBL FOR TFC
RFL ABV FL095 IN EP",H24,To allow connections for GA for EPSC arrivals.,Traffic with RFL above FL95 should be planned via first point of STAR procedures.,EP,11 JUL 2024,
EP5524,EPLL,,LOZ,"NOT AVBL FOR TFC
RFL ABV 5500FT IN EP",H24,To allow shorter connection in FPL for GA trainning flights.,,EP,15 OCT 2024,
EP5527,EPRZ,,RSW,"ONLY AVBL FOR TFC
DEP EPRZ",H24,To allow connections for training/test flights departing and arriving from/at EPRZ,,EP,15 OCT 2024,
EP5528,EPPW    ,,"(EMFED, MASIV, OVCAB)","NOT AVBL FOR TFC
1. RFL ABV FL065 IN EP EXC
    a. VIA (DENKO DCT UPCET DCT IDEXU DCT EMFED)
    b. VIA (DEKUT DCT UPCET DCT IDEXU DCT EMFED)
    c. VIA (BIBKA DCT OVCAB)
    d. VIA DIBLO AND-THEN VIA INDIG AND-THEN VIA MASIV
    e. VIA UTOLU AND-THEN VIA INDIG AND-THEN VIA MASIV
    f. VIA (VAGON DCT OLLEW DCT MASIV)
    g. VIA (XIDNA DCT OLLEW DCT MASIV)
    h. VIA (KELOD DCT NILPU DCT OLLEW DCT MASIV)",H24,To add arrival connections for EPPW,"Please note that EPWW arrivals must be planned via one of the specified mandatory feeding routes (via DCT segments and/or RNAV routes).
Feeding routes are mandatory for all flights with cruising level above FL065.",EP,21 OCT 2024,
EP5532,EPMO,NUBLI,,"NOT AVBL FOR TFC
ARR EPMO",H24,"EPMO STAR procedure starting at point NUBLI can only be assigned by ATC on tactical level. It is not possible to plan arrival to EPMO via point NUBLI. EPMO arrivals from south direction should be planed via point LOGDA. Depends on traffic situation, on tactical level mentioned EPMO arrivals may be redirected by ATC to use NUBLI arrival instead of LOGDA arrival.",,EP,15 OCT 2024,
EP5535,EPPW,,DIPKI,"ONLY AVBL FOR TFC
DEP EPKS",H24,To allow shorter connection between EPPW and EPKS,,EP,15 OCT 2024,
EP5537,EPPO,,OBOLA,"ONLY AVBL FOR TFC
DEP EPPO & RFL BLW FL095 IN EP",H24,To allow shorter flight planning option for training flights from EPPO to EPPO,,EP,15 OCT 2024,
ES5526,ESSA,NILUG,,"NOT AVBL FOR TFC
1. ABV FL095 AT NILUG
    a. EXC DEP STOCKHOLM_AREA
    b. EXC VIA (ROGMI Z229 NILUG) 
    c. EXC VIA (ARMOD Z228 NILUG)
    d. EXC VIA (MIKNA N851 PELUP)
    e. EXC VIA (VIBAR Z227 NILUG)
    f. EXC VIA (VIBAR  L87 PELUP)
    g. VIA (EKDKV, EKDKUV) & ARR ESSA",H24,"To facilitate correct ARR traffic flow
Stockholm TMA.",,ES,29 AUG 2024,
ES5527,ESSB,TINKA,,"NOT AVBL FOR TFC
1. ABV FL095 AT TINKA
    a. EXC DEP  STOCKHOLM_AREA
    c. EXC VIA (DETSO N873 PELIT Y42 TINKA)
    d. EXC VIA (UMTON Y430 TINKA)
    e. VIA (EKDKA, EKDKUA, EKDKC, EKDKUC) EXC XNG EKDKV - EKDKUV BDRY
      i) VIA (DETSO N873 PELIT Y42 TINKA)
      ii) VIA (UMTON Y430 TINKA)",H24,"To facilitate correct ARR traffic flow.
Stockholm TMA",,ES,29 AUG 2024,
ES5529,ESMS,EKRAL,,"NOT AVBL FOR TFC
1. ABV FL095 AT EKRAL EXC
    a. VIA (KOTAM L990 EKRAL)
    b. VIA (NEMBA N33 ETPIG P605 EKRAL)
    c. DEP  MALMO_AREA",H24,"To facilitate correct ARR traffic flow
Koepenhamn / Malmoe / Halmstad TMA",,ES,29 AUG 2024,
ES5530,ESGG,KELIN,,"NOT AVBL FOR TFC
1. ABV FL095 AT KELIN & ARR (ESGG, ESGP) EXC 
    a. VIA (LATKU L996 KELIN)
    b. DEP GOTHENBURG_AREA",H24,"To facilitate correct ARR traffic flow
Goeteborg TMA",,ES,29 AUG 2024,
ES5531,ESGG,NEGIL,,"NOT AVBL FOR TFC
1. ABV FL095 AT NEGIL EXC 
    a. VIA (OGIRO M852 NEGIL)
    b. DEP GOTHENBURG_AREA",H24,"To facilitate correct ARR traffic flow
Goeteborg TMA",,ES,29 AUG 2024,
ES5532,"(FARRIS_GROUP,  OSLO_GROUP)",ESEBA,,"NOT AVBL FOR TFC
1. ABV FL095 AT ESEBA EXC
    a. VIA (EBURI N623 TEKVA (N623, Z259) ESEBA)
    b. VIA (KSD Z259 TEKVA (N623, Z259) ESEBA)
    c. DEP (SATENAS_GROUP, KARLSTAD_GROUP)",H24,"To facilitate correct ARR traffic flow
Oslo / Farris",,ES,29 AUG 2024,
ES5534,ESSB,,SBA,"ONLY AVBL AND COMPULSORY FOR TFC
DEP ESSA",H24,To force traffic onto the correct DEP/ARR route,,ES,29 AUG 2024,
ES5535,ESSB,ALOLA,,"NOT AVBL FOR TFC
1. ABV FL095 AT ALOLA EXC 
    a. DEP STOCKHOLM_AREA
    b. VIA (NEBSI M92 ALOLA)
    c. VIA (NEKLA Z540 ALOLA)",H24,"To facilitate correct ARR traffic flow.
Stockholm TMA",,ES,29 AUG 2024,
ES5536,ESSA,ELTOK,,"NOT AVBL FOR TFC
1. VIA (EKDKA, EKDKUA, EKDKC, EKDKUC) EXC XNG EKDKV - EKDKUV BDRY 
2. DEP (GOTHENBURG_GROUP, SATENAS_GROUP) EXC VIA (DETSO N873 ARS T317 ELTOK)
3. VIA (EKDKL, EKDKV, EKDKUV) EXC
    a. VIA (DETSO N873 ARS T317 ELTOK)
    b. VIA ENORFIR
4. VIA (ESMMK, ESMM2, ESMMW) EXC VIA (DETSO N873 ARS T317 ELTOK)
5. VIA ESOS1 EXC VIA (DETSO N873 ARS T317 ELTOK)",H24,"To facilitate correct ARR traffic flow.
Stockholm TMA",,ES,10 FEB 2025,
ES5537,"(ESSA, ESSB)",HMR,,"NOT AVBL FOR TFC
1. ABV FL095 AT HMR
    a. EXC DEP STOCKHOLM_AREA
    b. EXC VIA (DEGAL L870 HMR)
    c. EXC VIA (SIPRI (N5, T31, T316) HMR)
    d. EXC VIA (KELAS L87 HMR)
    e. DEP ESNN EXC VIA (SIPRI (N5, T31, T316) HMR)",H24,"To facilitate correct ARR traffic flow.
Stockholm TMA",,ES,29 AUG 2024,
ES5538,ESSB,TRS,,"NOT AVBL FOR TFC
1. ABV FL095 AT TRS
    a. EXC DEP STOCKHOLM_AREA
    b. EXC VIA (ROGMI M996 TRS)
    c. EXC VIA (ARMOD M607 TRS)
    d. EXC VIA (MIKNA N851 TRS)
    e. EXC VIA (VIBAR Z330 TRS)
    f. EXC VIA (VIBAR L87 PELUP N851 TRS)
    g. VIA (EKDKL, EKDKV, EKDKUV)",H24,"To facilitate correct ARR traffic flow.
Stockholm TMA",,ES,29 AUG 2024,
ES5539,"(FARRIS_GROUP,  OSLO_GROUP)",LUNIP,,"NOT AVBL FOR TFC
1. ABV FL095 AT LUNIP EXC
    a. VIA (SABAK L997 LUNIP)
    b. VIA (SABAK DCT XENTA DCT REGMA L997 LUNIP)
    c. DEP (SATENAS_GROUP, KARLSTAD_GROUP)",H24,"To facilitate correct ARR traffic flow
Oslo / Farris",,ES,10 FEB 2025,
ES5540,"(FARRIS_GROUP,  OSLO_GROUP)",REPKU,,"NOT AVBL FOR TFC
1. ABV FL095 AT REPKU EXC
    a. VIA (SABAK L617 REPKU)
    b. VIA (SABAK L997 XENTA Y43 REPKU)
    c. DEP (SATENAS_GROUP, KARLSTAD_GROUP)",H24,"To facilitate correct ARR traffic flow
Oslo / Farris",,ES,10 FEB 2025,
ES5541,"(ESCF, ESKN, ESSL, ESSP)",BEDOS,,"COMPULSORY FOR TFC
1. ABV FL095 AT BEDOS & VIA (EKDKA, EKDKUA, EKDKC, EKDKUC)
This traffic shall file
    a. VIA (BEDOS N851 MIKNA) & ARR (ESCF, ESSL, ESSP)
    b. VIA (BEDOS N851 PELUP) & ARR ESKN",H24,"To facilitate correct ARR traffic flow
Oestgoeta TMA",,ES,29 AUG 2024,
ES5542,"(ESCF, ESKN, ESSL, ESSP)","(DETSO, LURAR)",,"COMPULSORY FOR TFC
ABV FL095 AT (DETSO, LURAR) & VIA (EKDKV, EKDKUV)
This traffic shall file
VIA (DETSO, LURAR) AND-THEN VIA (OL, ON, GIMLO)",H24,"To facilitate correct ARR traffic flow
Oestgoeta TMA",,ES,29 AUG 2024,
ES5543,"(ESSA, ESSB)",XILAN,,"NOT AVBL FOR TFC
1. ABV FL095 AT XILAN EXC
    a. DEP STOCKHOLM_AREA
    b. VIA (RUNGA N872 XILAN) 
    c. VIA (LUPET L77 XILAN) 
    d. VIA (NEBSI L870 XILAN)
    e. VIA (TOMBU N616 XILAN)
    f. ARR ESSA",H24,"To facilitate correct ARR traffic flow.
Stockholm TMA",,ES,29 AUG 2024,
ES5544,"(FARRIS_GROUP, OSLO_GROUP)",VATEX,,"NOT AVBL FOR TFC
1. ABV FL095 AT VATEX
    a. VIA (NIBNO Z166 VATEX)
    b. VIA (OKSAT P609 VATEX)
    c. DEP (SATENAS_GROUP, KARLSTAD_GROUP)",H24,"To facilitate correct ARR traffic flow
Oslo / Farris",,ES,29 AUG 2024,
ES5546,ESGG,ARQUS,,"NOT AVBL FOR TFC
1. ABV FL095 AT ARQUS
    a. EXC VIA (NILEN L617 ARQUS)
    b. EXC DEP GOTHENBURG_AREA
    c. VIA EKDKCTA",H24,"To facilitate correct ARR traffic flow
Goteborg TMA",,ES,29 AUG 2024,
ES5551,ESSB,"(ARS, HMR,  TINKA,  TRS, XILAN)",ALOLA,"COMPULSORY FOR TFC
RFL ABV FL095 IN (ES, EK, EN, EF, EE, EV, EY, EP, ED) EXC DEP STOCKHOLM_GROUP",H24,"To facilitate correct ARR traffic flow
Stockholm TMA",,ES,29 AUG 2024,
ES5552,ESSA,"(ELTOK, HMR, NILUG, XILAN)",,"COMPULSORY FOR TFC
RFL ABV FL095 IN (ES, EK, EN, EF, EE, EV, EY, EP, ED) EXC DEP STOCKHOLM_GROUP",H24,"To facilitate correct ARR traffic flow
Stockholm TMA",,ES,29 AUG 2024,
ES5553,ESGG,"(ARQUS, KELIN, LOBBI, MAKUR, MOXAM, NEGIL, RISMA)",,"COMPULSORY FOR TFC
RFL ABV FL095 IN (ES, EK, EN, EF, EE, EV, EY, EP, ED) & DEP GOTHENBURG_GROUP",H24,"To facilitate correct ARR traffic flow
Goteborg TMA",,ES,29 AUG 2024,
ES5554,ESMS,"(BAKLI, DETUS, EKRAL, ERNOV, RASMU, ROE)",,"COMPULSORY FOR TFC
RFL ABV FL095 IN (ES, EK, EN, EF, EE, EV, EY, EP, ED) EXC DEP (COPENHAGEN_GROUP, MALMO_GROUP)",H24,"To facilitate correct ARR traffic flow
Copenhagen / Malmoe / Halmstad TMA",,ES,29 AUG 2024,
ESEK5508,COPENHAGEN_GROUP,TIDVU,,"NOT AVBL FOR TFC
1. ABV FL095 AT TIDVU EXC
    a. DEP (COPENHAGEN_GROUP, MALMO_GROUP, MALMO_AREA)
    b. VIA (KOTAM L990 EKRAL P605 TIDVU)
    c. VIA (ELVIX  L975 TIDVU)
    d. VIA (ROE M743 TIDVU)
    e. VIA (BAKLI Z400 TIDVU)",H24,"To facilitate correct ARR traffic flow
Kopenhamn / Malmo / Halmstad TMA",,"ES, EK",29 AUG 2024,
ESEK5509,COPENHAGEN_GROUP,ERNOV,,"NOT AVBL FOR TFC
1. ABV FL095 AT ERNOV EXC
    a. DEP (COPENHAGEN_GROUP, MALMO_GROUP, MALMO_AREA)
    b. VIA (TOPLA L996 ERNOV)
    c. VIA (TOKSI N872 ERNOV)
    d. VIA (JON T402 ERNOV)
    e. VIA (KULUD L621 ERNOV) & ARR ESMS",H24,"To facilitate correct ARR traffic flow
Kopenhamn / Malmo / Halmstad TMA",,"ES, EK",29 AUG 2024,
ESEK5510,ESGG,RISMA,,"NOT AVBL FOR TFC
ABV FL095 AT RISMA & ARR (ESGG, ESGP) & VIA (EKDKC, EKDKUC, EKDKE, EKDKL, EKDKV,  EKDKUV) EXC VIA (ROKAM L997 VEDAR)",H24,"To facilitate correct ARR traffic flow
Goteborg TMA",,"ES, EK",29 AUG 2024,
ESEN5500,ESKS,"(INBES, NISGO)", ,"COMPULSORY FOR TFC
VIA ENORFIR & ABV FL095 IN ENORFIR",H24,To force traffic onto dedicated STAR and comply with ATM system requirements,,"ES, EN",29 AUG 2024,
EV5503,EVRA,"(AMOLI, ASKOR, BARVA, ERIVA, GUNTA, LAPSA, LUTAL, ORVIX, TENSI, TUSAS, VANAG)",,"COMPULSORY FOR TFC
ARR EVRA EXC DEP EVRA & FLT-TYPE (M, X)",H24,to facilitate traffic,,EV,10 FEB 2025,
EV5504,EVGA,,"(ASKOR, GUNTA, LAPSA, ORVIX, TENSI, AMOLI, BARVA, ERIVA, LUTAL, TUSAS, VANAG)",,H24,to allow connectivity to EVGA within RIGA TMA,,EV,10 FEB 2025,
EV5506,EVLA,,"(ABREX, ABRUM, AMRIT, ARBIS, LEPVA, VASAB, ROKSO)",,H24,to facilitate arriving traffic,,EV,10 FEB 2025,
EV5507,EVLA,"(DESON, FATXO, LASMA, RUCAV)",,"ONLY AVBL FOR TFC
ACFT-PBN (O2)",H24,TRAFFIC ORGANISATION IN LIEPAJA FIZ,RNP1,EV,22 AUG 2024,
EV5509,EVLA,,"(DESON, FATXO, LASMA, RUCAV)",,H24,TRAFFIC ORGANISATION IN LIEPAJA FIZ,,EV,22 AUG 2024,
EY5550,EYVI,,VNO,"NOT AVBL FOR TFC
EXC DEP EYKA AND-THEN ARR EYVI",H24,To connect the two aerodromes,,EY,23 AUG 2024,
GC5500,GCLP,,LPC,"ONLY AVBL FOR TFC
DEP (GCLB, GCLP, GCHI)",H24,"Traffic allocation within Canarias TMA
No STAR available, expect ATC instructions",,GC,13 OCT 2024,
GC5501,GCLP,LORPO,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP (GCFV, GCRR)",H24,Traffic allocation within Canarias TMA,,GC,13 OCT 2024,
GC5502,GCLP,HIE,,"ONLY AVBL AND COMPULSORY FOR TFC
VIA ROSTA",H24,To facilitate correct ARR traffic flow,,GC,13 OCT 2024,
