RAD Application ID,Airspace,"Airspace
Vert. Limit","Time
Applicability","DCT
Horiz. Limit","Cross-border
DCT Limits","ID
DCT limit","ID Not allowed
Cross-border
DCT",Remarks,"Release
Date"
LCCCACC_FRA,LCCCACC,BTN FL205..FL660,21:30 - 04:30 (20:30 - 03:30),FRA,Not allowed,,,,25 JAN 2023
LDZOACC,LDZOACC,Below FL205,H24,0NM,Not allowed,LD1,-,,
LDZOACC_FRA,LDZOACC,Above FL205,H24,FRA,"Allowed to/from
LO**APP, LOVVACC, LJLAACC, LQSBACC, LYBAACC",-,-,"Free Route Airspace 
(see AIP Croatia)
SECSI FRA",
LECBACC,LECBACC,Below FL245,H24,0NM,Not allowed,LE2,-,,06 APR 2022
LECBACC_FRA,LECBACC,Above FL245,H24,FRA,,,,,06 APR 2022
LECMACC,LECMACC,Below FL245,H24,0NM,Not allowed,LE2,-,,06 APR 2022
LECMACC_FRA,LECMACC,Above FL245,H24,FRA,,,,,06 APR 2022
LECPACC,LECPACC,Below FL245,H24,0NM,Not allowed,LE2,"LEDA400
LPLE400",,06 APR 2022
LECPACC_FRA,LECPACC,Above FL245,H24,FRA,,,,,06 APR 2022
LECSACC,LECSACC,Below FL245,H24,0NM,Not allowed,LE2,LEDA400,,06 APR 2022
LECSACC_FRA,LECSACC,Above FL245,H24,FRA,,,,,06 APR 2022
LFEEACC,LFEEACC,below FL195,H24,0NM,"Allowed
except to/from
LSAGACC
LSAZACC",LFEE1,LSLF400,,
LFEEACC_4,LFEEACC execpt LFFRAC,above FL195,H24,0 NM,"Allowed
except to/from
LSAGACC
LSAZACC",LFEE2,LSLF400,,29 OCT 2021
LFFFACC,LFFFACC,below FL65,H24,"10NM except LFFFEGA, LFRSLOW, LFRSNB","Allowed
except to/from
LSAGACC",LFFF1,LSLF400,,18 MAR 2022
LFFFACC_4,"LFFFACC except (LFFRAC, LFFRASW)",above FL65,H24,0NM,"Allowed
except to/from
LSAGACC",LFFF2,LSLF400,,18 MAR 2022
LFFFEGA,LFFFEGA,No Limit,H24,0 NM,,,,except POGOs within PARIS_GROUP,18 MAR 2022
LFFRAC_FRA,LFFRAC,above FL195,H24,FRA,Not allowed,,,Free Route Airspace,29 OCT 2021
LFFRANW_FRA,LFFRANW,above FL195,H24,FRA,Not allowed,,,Free Route Airspace,29 OCT 2021
LFFRASW_FRA,LFFRASW,above FL195,H24,FRA,Not allowed,,,Free Route Airspace,29 OCT 2021
LFMMACC,LFMMACC,below FL195,H24,0NM,"Allowed
except to/from
LIRRACC
LIMMACC
LSAGACC",LFMM1,LSLF400,,
LFMMACC_2,LFMMACC,above FL195,H24,0NM,"Allowed
except to/from
LIRRACC
LIMMACC
LSAGACC",LFMM2,LSLF400,,
LFRRACC_2,LFRRACC,below FL195,H24,50NM,Allowed,LFRR1,-,,
LFRRACC_4,LFRRACC except LFFRANW,above FL195,H24,0NM,Allowed,LFRR2,-,,29 OCT 2021
