ID,Airway,From,To,"Point or
Airspace",Utilization,"Time
Applicability",Categorisation,"Operational
Goal",Remarks,ATC Unit,NAS/FAB,"Release
Date"
LE3309,,,,XOMBO,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT from XOMBO except VIA XOMBO DCT (ELSAP, RONNY, SURCO)",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
SURCO: LEPP (A), LEZG (AD)",,LE,27 MAR 2022
LE3312,,,,XORNA,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT to XORNA except VIA DOSUL DCT XORNA",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.",,LE,27 MAR 2022
LE3313,,,,XORNA,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT from XORNA except VIA XORNA DCT DELOG",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.",,LE,27 MAR 2022
LE3314,,,,XOSTA,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT from XOSTA except VIA XOSTA DCT NINOT",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
NINOT: LEIB (D)
XOSTA: LEVC (A)",,LE,27 MAR 2022
LE3315,,,,XOSTA,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT to XOSTA except VIA IZA DCT XOSTA",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
XOSTA: LEVC (A)",,LE,27 MAR 2022
LE3316,,,,XULIM,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT to XULIM except VIA (AMPIR, KORIS, PISIG) DCT XULIM",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.",,LE,27 MAR 2022
LE3317,,,,XULIM,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT from XULIM except VIA XULIM DCT (AMPIR, PISIG, VJF)",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
VJF: LEMG (A), LEMO (AD), LERT (D), LEZL (AD)",,LE,27 MAR 2022
LE3318,,,,XULSA,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT from XULSA except VIA XULSA DCT GALTO between 00:00..05:00 (23:00..04:00)",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.",,LE,27 MAR 2022
LE3319,,,,XULSA,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT to XULSA except VIA NENEM DCT XULSA between 00:00..05:00 (23:00..04:00)",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.",,LE,27 MAR 2022
LE3320,,,,YAKXU,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT to YAKXU except VIA (BRITO, ELSAP, SEGRE, VASUM) DCT YAKXU",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
BRITO: LEZG (A)
SEGRE: LEGT (D), LETO (D)
VASUM: LEVT (D)",,LE,27 MAR 2022
LE3321,,,,YAKXU,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT from YAKXU except VIA YAKXU DCT (ELSAP, RONNY, VASUM)",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
VASUM: LEVT (D)",,LE,27 MAR 2022
LE3322,,,,YES,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT to YES except VIA (ANANA, BLN, MAMIS, TOSGA, XEBAR) DCT YES",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
BLN: LEGR (AD), LEMG (AD), LEMO (A), LEZL (A)
MAMIS: LEZL (A)
TOSGA: LEAM (AD)
YES: LEAL (D)",,LE,27 MAR 2022
LE3323,,,,YES,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT from YES except VIA YES DCT (ANANA, BLN, MAMIS, TOSGA, TOSTO, XEBAR)",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
BLN: LEGR (AD), LEMG (AD), LEMO (A), LEZL (A)
MAMIS: LEZL (A)
TOSGA: LEAM (AD)
YES: LEAL (D)",,LE,27 MAR 2022
LE3324,,,,ZANKO,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT to ZANKO except VIA (NEA, UNSOL) DCT ZANKO",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
NEA: LEBG (AD), LERJ (A), LEVD (AD), LEVT (AD)",,LE,27 MAR 2022
LE3325,,,,ZANKO,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT from ZANKO except VIA ZANKO DCT (RIDAV, ZMR)",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
RIDAV: LEMD (A), LETO (A)
ZMR: LELN (AD), LEMD (AD), LESA (AD), LETO (AD), LEVD (AD)",,LE,27 MAR 2022
LE3326,,,,ZAR,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT to ZAR except VIA ELSAP DCT ZAR",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.",,LE,27 MAR 2022
LE3327,,,,ZAR,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT from ZAR except VIA ZAR DCT (EXEMU, KONKE)",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.",,LE,27 MAR 2022
LE3328,,,,ZMR,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT to ZMR except VIA (ADORO, AVILA, BARDI, DESAT, GODIV, MELON, NEA, TOSDI, VETAN, ZANKO) DCT ZMR",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
AVILA: LEGT (AD), LESA (AD)
NEA: LEBG (AD), LERJ (A), LEVD (AD), LEVT (AD)
ZMR: LELN (AD), LEMD (AD), LESA (AD), LETO (AD), LEVD (AD)",,LE,27 MAR 2022
LE3329,,,,ZMR,"NOT AVBL FOR TFC
between FL245..FL660 VIA DCT from ZMR except VIA ZMR DCT (ADORO, ARDID, AVILA, DESAT, MELON, NEA, NUBLO, VETAN)",H24,S,To ban operations outside legacy ATS routes during HISPAFRA implementation phase 1.,"Initial FRA structural constraint
for HISPAFRA implementation phase 1.

HISPAFRA AD relevance summary by point:
AVILA: LEGT (AD), LESA (AD)
NEA: LEBG (AD), LERJ (A), LEVD (AD), LEVT (AD)
NUBLO: LEBG (AD), LEXJ (A)
ZMR: LELN (AD), LEMD (AD), LESA (AD), LETO (AD), LEVD (AD)",,LE,27 MAR 2022
EHYX1006,N873,DOFMU,EKROS,,"NOT AVBL FOR TFC
via VALKO",H24,S,To prevent turning,,"(EHAAACC,
EDYYUAC)","EH,YX",09 JUL 2021
UK2127,,,,BITRU,"NOT AVBL FOR TFC
below FL275
except
1. via T504
2.DEP/ARR UKON",H24,S,FRAU / ATS Route Network Requirements,,UKOVACC,UK,09 JUL 2021
EG3124,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGAA
Except via
1. MAC DCT BELZU DCT
2. TRN P600 BLACA DCT BELZU DCT
3. REMSI DCT UVPOK M147 ROBOP M146 IPSET P6 BELZU DCT
4. REMSI DCT MASOP DCT NELBO P6 BELZU DCT
5. NEVRI N34 BELZU DCT
6. DEGOS DCT BELZU DCT
7. ELBOB DCT BELZU DCT
8. AMCON DCT BELZU DCT",H24,S,"To enforce correct route orientation.
3. This routeing is only available for RNAV1 equipped aircraft",,,EG,29 OCT 2021
EG3125,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGAC
Except via
1. MAC DCT BELZU DCT
2. TRN P600 BLACA DCT MAGEE  DCT
3. REMSI DCT NINEB M148 MAGEE DCT
4. REMSI DCT MASOP DCT NELBO DCT MAGEE DCT 
5. NEVRI N34 ABSU DCT MAGEE DCT
6. DEGOS DCT BELZU DCT
7. ELBOB DCT BELZU DCT
8. AMCON DCT BELZU DCT",H24,S,"To enforce correct route orientation.
3. This routeing is only available for RNAV1 equipped aircraft.",,,EG,29 OCT 2021
EG3126,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGAE
Except via
1. TIR DCT RUBEX DCT
2. TRN N562 MAC DCT
3. NELBO P6 BELZU DCT
4. LUTOV DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3127,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGEC
Except via
1. GOSAM P600 TRN N562 MAC DCT
2. TOBMO Y958 BRUCE DCT MAC DCT
3. ROTEV DCT MAC DCT 
4. DONIB N562 MAC DCT
5. TIR DCT MAC DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3128,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGEO
Except via
1. STN DCT
2. RIMOL DCT
3. PTH DCT
4. MAC DCT 
5. TIR DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3129,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGNC
Except via
1. PTH P600 GRICE N601 TLA DCT
2. ROBEM UP16 NATEB DCT
3. FYNER L602 GOW DCT TLA DCT
4. MAC N562 TRN DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3130,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGNS
Via EGPXRAT
Except via
1. TRN P600 BLACA P620 NELBO DCT IOM DCT
2. BELZU L10 IOM DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3133,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGPA
Except via
1. WAFIL DCT KOKAL DCT
2. SMOKI Y904 WIK N560 KOKAL DCT
3. BONBY N560 KOKAL DCT
4. KESEG DCT KOKAL DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3134,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGPB
Except via
1. PEPIN DCT WAFIL DCT
2. BEKET DCT GAVEL Y905 WAFIL DCT
3. KOKAL DCT WAFIL DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3135,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGPC
Except via
1. BAMRA DCT WIK DCT
2. ADN DCT SMOKI Y904 WIK DCT
3. RIMOL DCT BONBY N560 WIK DCT
4. VADNO DCT WIK DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3139,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGPG
Except via
1. NESDI N560 FOYLE
2. ADN P600 PTH
3. ROBEM UP16 NATEB Y96 TLA
4. GOTNA P600 BLACA
5. MAC N562 TRN DCT LANAK
6. BRUCE L602 FYNER",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3141,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGPI
Except via
1. GOW DCT
2. BELZU DCT
3. DONIB DCT
4. TOBMO DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3143,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGPL
Except via
1. STN DCT
2. RUGID DCT
3. BRUCE Y958 TOBMO DCT
4. OBUBA DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3145,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGPO
Except via
1. ADASI DCT STN DCT
2. WIK DCT STN DCT
3. RIMOL DCT STN DCT
4. ORSUM DCT STN DCT
5. TOBMO DCT STN DCT
6. KUVOX DCT STN DCT
7. INNUF DCT STN DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3147,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGPU
Except via
1. STN DCT TIR DCT
2. RUGID DCT TIR DCT
3. NEVIS DCT TIR DCT
4. GOW L602 TIR DCT
5. MAC DCT TIR DCT
6. IBROD DCT TIR DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3149,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGQS
Except via
1. KOKAL DCT WIK DCT
2. MONAV DCT
3. LESNI DCT NANEV DCT
4. FINDO DCT
5. NEVIS DCT
6. ORSUM DCT
7. STN DCT RIMOL DCT
8. BALID DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3150,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EIDW
Except
1. via BELZU DCT NUMPI P620 NIMAT
2. via TRN DCT BLACA DCT NELBO DCT NIMAT
3. via ERNAN DCT OLAPO
4. via ROVNI UL975 LIBSO
5. Crossing (MOLAK, NIPIT) above FL255
6. via BLACA DCT NELBO DCT NIMAT",H24,S,"To enforce correct route orientation.
2. TRN is a mandatory Intermediate Point for aircraft arriving from Copenhagen FIR and Polaris FIR.
4. To enable EIDW arrivals to route from the eastern side of the UK, initially via EGPX FRA and then via the UK ATS route structure.
5. To enable connectivity from EGPX FRA to EI FRA.  Traffic must be above FL255 at MOLAK/NIPIT.",,,EG,29 OCT 2021
EG3151,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EIDL
Except via
MAC N552 RUBEX DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3154,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGAE
Except via
1. EGAE DCT RUBEX DCT TIR
2. EGAE DCT MAC DCT TRN
3. EGAE DCT BELZU L10 DUFFY
4. EGAE DCT LUTOV",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3155,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGEC
Except via
1. EGEC DCT MAC N562 TRN P600 GOSAM
2. EGEC MAC DCT BRUCE Y958 TOBMO DCT
3. EGEC DCT MAC DCT DEGOS
4. EGEC DCT MAC N562 DONIB
5. EGEC DCT MAC DCT TIR",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3156,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGEO
Except via
1. EGEO DCT STN
2. EGEO DCT RIMOL 
3. EGEO DCT PTH 
4. EGEO DCT MAC
5. EGEO DCT TIR",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3157,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGNC
Except via
1. EGNC DCT TLA N601 GRICE P600 PTH
2. EGNC DCT NATEB DCT GIVEM
3. EGNC DCT TLA DCT GOW L602 FYNER
4. EGNC DCT TRN N562 MAC",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3158,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGNS
Via EGPXRAT
Except via
1. EGNS DCT IOM DCT ROBOP DCT GOTNA DCT  BLACA DCT TRN
2. EGNS DCT IOM L10 BELZU",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3161,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPA
Except via
1. EGPA DCT KOKAL DCT WAFIL
2. EGPA DCT KOKAL N560 WIK DCT SMOKI 
3. EGPA DCT KOKAL N560 WIK DCT BONBY
4. EGPA DCT KOKAL DCT KESEG",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3162,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPB
Except via
1. EGPB DCT WAFIL DCT PEPIN
2. EGPB DCT WAFIL Y905 GAVEL DCT BEKET 
3. EGPB DCT WAFIL DCT KOKAL",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3163,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPC
Except via
1. EGPC DCT WIK DCT BAMRA
2. EGPC DCT WIK Y904 ADN
3. EGPC DCT WIK N560 RIMOL
4. EGPC DCT WIK DCT VADNO",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3164,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPD
Except via
1. EGPD DCT ADN Y905 PETOX DCT MONAV
2. EGPD DCT ADN P600 BUDON
3. EGPD DCT RATPU DCT RIVOT
4. EGPD DCT RATPU DCT NEXUS when ADN P18 NATEB is not available
5. EGPD DCT RATPU P18 NEXUS when ADN P18 NATEB is available
6.  EGPD DCT NAXIL P600 ASNUD N864 IBOLU
7. EGPD DCT NAXIL P600 PTH
8. EGPD DCT ADN DCT RIMOL
9. EGPD DCT ADN Y904 WIK",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3166,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPF
Except via
1. FOYLE N560 LAGAV
2. PTH P600 ASNUD
3. NORBO Y96 HAVEN 
4. NORBO L186 TRN P600 BLACA
5. NORBO L186 TRN N562 MAC
6. CLYDE L602 BRUCE
7. LOMON DCT ORSUM",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3167,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPG
Except via
1. EGPG DCT FOYLE N560 LAGAV
2. EGPG DCT PTH P600 ASNUD
3. EGPG DCT TLA Y96 NATEB P15 GIVEM
4. EGPG DCT GOSAM P600 BLACA
5.  EGPG DCT GOSAM P600 TRN N562 MAC
6. EGPG DCT GOW DCT CLYDE L602 BRUCE
7. EGPG DCT GOW L602 BRUCE",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3168,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPH
Except via
1. GRICE P600 ASNUD
2. TLA Y96 NATEB P15 GIVEM
3. GOSAM DCT GOW L602 BRUCE
4.  GOSAM P600 TRN
5. GRICE DCT FOYLE N560 ERSON",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3169,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPI
Except via
1. EGPI DCT GOW
2. EGPI DCT BELZU
3  EGPI DCT DONIB
4. EGPI DCT TOBMO",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3170,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPK
Except via
1. TRN DCT GOW N560 ERSON
2.  TRN P600 PTH
3.  DCT SUMIN DCT TLA Y96 HAVEN
4. LUCCO Z250 HAVEN
5.  SUMIN Z250 HAVEN 
6. TRN P600 BLACA P620 NELBO
7. DCT TRN N562 AMCON
8. DAUNT Z246 HERON N562 AMCON
9. OKNOB Z247 HERON N562 AMCON
10. TRN DCT GOW L602 FYNER",H24,S,"To enforce correct route orientation.
4., 5., 8., 9.  These routeings are only available for RNAV1 equipped aircraft",,,EG,29 OCT 2021
EG3171,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPL
Except via
1. EGPL DCT STN
2. EGPL DCT RUGID
3. EGPL DCT TOBMO Y958 BRUCE
4. EGPL DCT OBUBA",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3173,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPO
Except via
1. EGPO DCT STN DCT ADASI
2. EGPO DCT STN DCT WIK
3. EGPO DCT STN DCT RIMOL
4. EGPO DCT STN DCT ORSUM
5. EGPO DCT STN DCT TOBMO
6. EGPO DCT STN DCT KUVOX
7. EGPO DCT STN DCT INNUF",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3175,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGPU
Except via
1. EGPU DCT TIR DCT STN
2. EGPU DCT TIR DCT RUGID
3. EGPU DCT TIR DCT NEVIS
4. EGPU DCT TIR L602 GOW
5. EGPU DCT TIR DCT MAC
6. EGPU DCT TIR DCT IBROD
7. EGPU DCT TIR DCT GOW",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3177,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGQS
Except via
1. EGQS DCT WIK
2. EGQS DCT MONAV
3. EGQS DCT NANEV DCT LESNI
4. EGQS DCT BALID
5. EGQS DCT FINDO
6. EGQS DCT NEVIS
7. EGQS DCT ORSUM

8. EGQS DCT RIMOL DCT ULLAP",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3179,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EIDL
except via
RUBEX N552 MAC",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3180,,,,AKIVO,"COMPULSORY FOR TFC
DEP NAT_GROUP
Via ATSIX",H24,S,To mandate appropriate landfall fix for eastbound NAT traffic.,,,EG,29 OCT 2021
EG3181,,,,BESGA,"COMPULSORY FOR TFC
Via MATIK",H24,S,ATC requirement due to radar surveillance limitations.,,,EG,29 OCT 2021
EG3183,,,,NINEX,"COMPULSORY FOR TFC
DEP NAT_GROUP
Via BALIX",H24,S,To mandate appropriate landfall fix for eastbound NAT traffic.,,,EG,29 OCT 2021
EG3188,,,,DEGOS/ERNAN/MOLAK/NIMAT/NIPIT,"COMPULSORY FOR TFC
Crossing EGPXFRA-(EISN3AS, EISN3AU, EISN4BS, EISN4BU, EISN4AS, EISN4AU) boundary",H24,S,To enable flight plan acceptance systems to manage flights between adjacent FIRs.,,,EG,29 OCT 2021
EG3189,,,,DEGOS/ERNAN/MOLAK/NIPIT/ROTEV,"COMPULSORY FOR TFC
Crossing (EISN3AS, EISN3AU, EISN4BS, EISN4BU, EISN4AS, EISN4AU)-EGPXFRA boundary",H24,S,To enable flight plan acceptance systems to manage flights between adjacent FIRs.,,,EG,29 OCT 2021
EG3190,,,,AMLAD/APSOV/IBROD/KUGUR/NIBOG/LUTOV/MIMKU,"COMPULSORY FOR TFC
1. Crossing EGPXFIR/UIR-EISNNOTA boundary
2. Crossing EISNNOTA-EGPXFIR/UIR boundary",H24,S,To enable flight plan acceptance systems to manage flights between adjacent FIRs.,,,EG,29 OCT 2021
EG3191,,,,LAMRO,"COMPULSORY FOR TFC
Via (ARTEX, NIVUN)",H24,S,To conform to LOA procedures.,,,EG,29 OCT 2021
EG3192,UP18,NATEB,ALASO,,"ONLY AVBL FOR TFC
1. ARR EGPD
2. ARR EGPA/PC via ROKAN",H24,S,Arrival route predominantly for EGPD,,,EG,29 OCT 2021
EG3194,,,,ERNAN,"NOT AVBL FOR TFC
1. ARR (LONDON_GROUP, PARIS_GROUP) 
    Via (AKIVO, AMTAP, ETSOM, EVNAL, GINGA, MATIK, NINEX, ODPEX, RATSU)
2. DEP LONDON_GROUP, PARIS_GROUP
    Via (ADODO, ATSIX, BALIX, ERAKA, ETILO, GOMUP, MATIK, ORTAV, RATSU)",H24,S,"To reduce sector complexity.  
1. This traffic shall file via EMGAT/ELBUS.
2. This traffic shall file via LORTA/TLA.",,,EG,29 OCT 2021
EG3195,,,,EKDKNSH,"ONLY AVBL FOR TFC
via
LARGA DCT PENUN
ARTEX DCT VAXIT
ELSAN DCT VAXIT
REKNA DCT VAXIT
ITSUX DCT TINAC
SURAT DCT GOREV
REKNA DCT PETIL
SURAT DCT PETIL
LARGA DCT INBOB
ROPAL DCT INBOB
ROPAL DCT LESRA
LARGA DCT SOPTO
AVRAL DCT VALBO
ATNKA DCT TIPAN
VAXIT DCT ARTEX
VAXIT DCT ELSAN
VAXIT DCT REKNA
TINAC DCT ITSUX
GOREV DCT SURAT
PETIL DCT REKNA
PETIL DCT SURAT
LESRA DCT ROPAL
UPGAS DCT TIPAN
VALBO DCT AVRAL",H24,S,To conform to LOA procedures.  North Sea High Area definition as per UK AIP ENR 2.2 section 1.3,,,EG,29 OCT 2021
EG3196,,,,INBAS,"NOT AVBL FOR TFC
1. Crossing EK-EG boundary
2. Via (ALOTI, KLONN, NIVUN) 
And then ARR EGPK
Via EGPXFRA",H24,S,This traffic shall use alternative FRA arrival connecting fix e.g. ADN.,,,EG,29 OCT 2021
EG3197,,,,NESDI,"NOT AVBL FOR TFC
1. Crossing EK-EG boundary
2. Via (ALOTI, KLONN, NIVUN) 
And then ARR (EGPF, EGPG)
Via EGPXFRA",H24,S,This traffic shall use alternative FRA arrival connecting fix e.g. ADN.,,,EG,29 OCT 2021
EG3198,,,,LAGAV,"NOT AVBL FOR TFC
1. Crossing EK-EG boundary
2. Via (ALOTI, KLONN, NIVUN) 
And then ARR EGPH
Via EGPXFRA",H24,S,This traffic shall use alternative FRA arrival connecting fix e.g. ADN.,,,EG,29 OCT 2021
EG3200,,,,MOLAK,"NOT AVBL FOR TFC
With RFL above FL255 in EG
1. ARR (LONDON_GROUP, PARIS_GROUP) 
    Via GINGA
2. DEP/Overfly EGTTFIR/EGTTUIR
    Via (GOMUP, NIBOG)",H24,S,"To split traffic flows and reduce workload/sector complexity. 
2. This traffic shall file via TLA/LORTA/GETNO/BELOX/TUPEM.",,,EG,29 OCT 2021
EG3201,,,,MAKUX,"COMPULSORY FOR TFC
With RFL above FL255 in EG
Via (AMLAD, APSOV, GINGA, IBROD, KUGUR, LUTOV, MIMKU, NIBOG) 
Then via (KELLY, SOSIM)
1. ARR (MANCHESTER_GROUP, MIDLANDS_GROUP)
2. ARR (EGCN, EGNM, EGNO)",H24,S,To ensure correct traffic orientation for Manchester TMA & Midlands Group inbounds.  This traffic shall file MAKUX DCT SOSIM Q38/L15 (except for EGBB/BE RNAV1 arrivals which shall pick up the STAR at MAKUX).,,,EG,29 OCT 2021
EG3202,,,,ETSOM,"COMPULSORY FOR TFC
DEP NAT_GROUP
Via ERAKA",H24,S,To mandate appropriate landfall fix for eastbound NAT traffic.,,,EG,29 OCT 2021
EG3203,,,,EVNAL,"COMPULSORY FOR TFC
DEP NAT_GROUP
Via ETILO",H24,S,To mandate appropriate landfall fix for eastbound NAT traffic.,,,EG,29 OCT 2021
EG3204,,,,GINGA,"COMPULSORY FOR TFC
DEP NAT_GROUP
Via GOMUP",H24,S,To mandate appropriate landfall fix for eastbound NAT traffic.,,,EG,29 OCT 2021
EG3205,,,,ODPEX,"COMPULSORY FOR TFC
DEP NAT_GROUP
Via ORTAV",H24,S,To mandate appropriate landfall fix for eastbound NAT traffic.,,,EG,29 OCT 2021
EG3206,,,,AMTAP,"COMPULSORY FOR TFC
DEP NAT_GROUP
Via ADODO",H24,S,To mandate appropriate landfall fix for eastbound NAT traffic.,,,EG,29 OCT 2021
EG3207,,,,EGPXFRA,"NOT AVBL FOR TFC
ARR EGAB
Except via
NELBO P6 BELZU DCT",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3208,,,,EGPXFRA,"NOT AVBL FOR TFC
DEP EGAB
Except via
EGAB DCT PEPOD",H24,S,To enforce correct route orientation.,,,EG,29 OCT 2021
EG3209,,,,FINDO,"NOT AVBL FOR TFC
Via INVON
Except via LAMMA
1. ARR/DEP EGPE  
2. ARR EGPD",H24,S,"To ensure correct sector sequence.  LAMMA is a compulsory waypoint for EGPD arrivals, and EGPE arrivals and departures routeing between INVON and FINDO.",,EG**ACC,EG,29 OCT 2021
